age;mention_bac;distance_domicile_km;heures_travail_remunere_sem;taux_presence_pct;connexions_lms_30j;heures_lms_total;ressources_consultees;retards_rendus;nb_devoirs_rendus;messages_forum;motivation;satisfaction;sentiment_appartenance;date_inscription;moyenne_finale;abandon;ects_semestre;capacite_accueil;volume_horaire_s1;taux_reussite_historique_pct;filiere_Biologie;filiere_Droit;filiere_Gestion;filiere_Informatique;filiere_Lettres;filiere_Mathematiques;filiere_Psychologie;filiere_STAPS;bac_type_general;bac_type_pro;bac_type_techno;faculte_Droit-Science Po;faculte_Lettres & Langues;faculte_STAPS;faculte_Sciences & Technologies;faculte_Sciences Humaines;faculte_Économie-Gestion;etablissement_origine_autre;etablissement_origine_cfa;etablissement_origine_lycee_prive;etablissement_origine_lycee_public;etablissement_origine_nan
17;0.0;;9.0;80.4;22.0;15.7;65;2;9;3;3.0;3.0;4.0;11-09-2024;13.8;0;30;810;265;81;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
19;1.0;98.9;25.0;64.1;18.0;24.2;28;7;8;0;2.0;2.0;;25-09-2024;10.63;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
19;1.0;29.6;;88.9;36.0;68.8;99;2;8;6;4.0;3.0;3.0;05-09-2024;17.06;0;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
18;1.0;15.8;18.0;82.8;27.0;36.3;53;7;7;4;4.0;3.0;4.0;12-09-2024;16.43;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
18;0.0;6.5;20.0;63.9;3.0;2.2;1;5;5;0;;1.0;4.0;03-09-2024;4.81;1;28;710;325;60;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
20;2.0;33.0;9.0;74.8;28.0;50.7;65;5;6;0;4.0;3.0;2.0;19-09-2024;16.13;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
22;1.0;76.4;7.0;85.9;39.0;60.2;76;3;10;8;2.0;5.0;3.0;05-09-2024;14.39;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
22;;37.7;8.0;96.7;26.0;20.9;44;4;9;3;3.0;2.0;4.0;25-09-2024;15.45;0;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
21;0.0;5.0;11.0;85.2;36.0;56.5;73;6;8;8;4.0;3.0;2.0;13-09-2024;15.29;0;30;980;247;60;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
18;0.0;;0.0;77.2;22.0;35.2;46;2;8;2;3.0;4.0;3.0;13-09-2024;13.17;0;30;620;263;66;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
19;;;;73.1;31.0;55.6;73;4;9;1;;1.0;1.0;27-09-2024;18.1;0;30;620;263;66;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
17;0.0;15.6;9.0;69.6;22.0;25.6;55;4;6;1;4.0;3.0;;12-09-2024;16.85;0;28;550;256;64;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
22;1.0;13.9;11.0;84.4;23.0;38.8;53;4;6;5;2.0;3.0;2.0;20-09-2024;15.72;0;30;980;247;60;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
21;2.0;9.9;8.0;60.3;3.0;6.4;5;4;9;0;1.0;2.0;2.0;04-09-2024;6.19;1;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
20;1.0;1.6;18.0;68.6;33.0;72.2;86;2;7;2;4.0;4.0;3.0;03-09-2024;16.18;0;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
20;0.0;16.4;20.0;78.0;27.0;32.1;45;6;7;3;1.0;3.0;4.0;05-09-2024;9.01;1;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
19;2.0;46.4;9.0;92.6;47.0;71.1;104;5;8;3;4.0;3.0;2.0;27-09-2024;16.75;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
19;2.0;14.8;27.0;70.6;;15.0;33;6;6;1;4.0;4.0;1.0;16-09-2024;3.94;1;30;930;293;75;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
20;0.0;12.0;26.0;75.9;53.0;65.6;135;2;9;0;3.0;;3.0;27-09-2024;15.25;0;30;810;265;81;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
19;1.0;5.1;10.0;76.3;9.0;11.1;20;3;8;2;3.0;4.0;2.0;04-09-2024;15.05;0;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
22;1.0;4.4;15.0;69.8;17.0;19.7;43;4;7;2;4.0;3.0;3.0;24-09-2024;6.03;1;30;930;293;75;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
22;1.0;4.7;11.0;76.4;15.0;27.3;23;1;6;4;3.0;1.0;4.0;16-09-2024;6.17;1;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
20;1.0;51.6;13.0;75.1;11.0;16.3;25;4;9;1;4.0;2.0;3.0;04-09-2024;1.54;1;30;810;265;81;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
18;0.0;17.2;11.0;81.6;17.0;19.3;22;6;7;2;2.0;3.0;1.0;19-09-2024;6.01;1;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
19;1.0;9.7;26.0;73.1;;31.3;69;6;9;2;4.0;4.0;4.0;19-09-2024;16.41;0;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
20;2.0;25.0;0.0;83.5;29.0;18.3;57;2;11;5;4.0;4.0;5.0;26-09-2024;19.61;0;30;830;282;65;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
18;;26.2;11.0;74.8;3.0;3.5;10;6;8;0;1.0;4.0;2.0;13-09-2024;0.95;1;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
18;0.0;6.7;11.0;70.6;3.0;1.4;2;2;6;3;3.0;4.0;3.0;26-09-2024;13.29;0;30;930;293;75;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
18;0.0;44.7;3.0;82.5;47.0;53.1;87;4;9;2;2.0;2.0;2.0;10-09-2024;1.57;1;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
24;0.0;29.8;0.0;80.8;51.0;52.5;134;2;13;2;4.0;3.0;5.0;03-09-2024;18.12;0;30;980;247;60;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
18;0.0;38.4;8.0;86.8;55.0;103.2;98;4;12;8;4.0;3.0;4.0;16-09-2024;17.75;0;28;710;325;60;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
20;3.0;51.4;;90.0;35.0;52.4;88;1;11;7;4.0;5.0;3.0;27-09-2024;19.25;0;30;810;265;81;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
20;1.0;7.5;0.0;84.6;21.0;25.7;41;6;6;0;3.0;3.0;4.0;04-09-2024;15.73;0;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
18;2.0;27.1;0.0;96.5;32.0;46.3;71;0;12;5;;;3.0;26-09-2024;18.8;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
18;0.0;34.8;;87.4;36.0;52.6;70;1;10;7;5.0;4.0;2.0;02-09-2024;18.35;0;28;480;265;78;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
20;0.0;27.9;3.0;71.1;30.0;47.8;58;3;8;6;5.0;3.0;2.0;06-09-2024;12.3;0;30;980;247;60;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
19;0.0;1.6;14.0;54.6;24.0;48.7;45;5;8;5;5.0;2.0;4.0;18-09-2024;13.22;0;30;930;293;75;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
18;0.0;7.9;;89.7;37.0;44.3;73;2;8;5;;4.0;3.0;26-09-2024;15.85;0;30;620;263;66;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
24;1.0;13.5;0.0;80.8;28.0;40.4;40;6;10;3;4.0;4.0;3.0;06-09-2024;17.35;0;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
22;1.0;20.9;0.0;71.9;8.0;13.9;18;3;8;4;5.0;4.0;3.0;20-09-2024;7.19;1;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
22;1.0;10.6;;72.2;;6.6;7;3;7;0;2.0;4.0;2.0;16-09-2024;3.33;1;30;620;263;66;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0
23;0.0;19.3;18.0;85.4;43.0;23.9;83;1;9;4;5.0;4.0;4.0;27-09-2024;15.53;0;30;830;282;65;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
20;0.0;25.7;23.0;64.2;8.0;11.1;17;5;7;0;1.0;4.0;3.0;03-09-2024;1.64;1;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
24;0.0;1.4;;68.7;36.0;66.6;82;4;10;1;4.0;3.0;3.0;04-09-2024;17.01;0;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
22;0.0;6.6;10.0;78.3;21.0;28.7;37;7;7;1;3.0;4.0;3.0;10-09-2024;6.91;1;30;830;282;65;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
20;3.0;16.1;8.0;81.2;40.0;56.5;89;2;11;7;4.0;;4.0;16-09-2024;17.04;0;28;710;325;60;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1
18;0.0;14.3;4.0;73.1;10.0;10.6;25;7;9;0;4.0;1.0;1.0;06-09-2024;14.4;0;30;620;263;66;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
20;;30.3;0.0;72.3;;48.3;50;6;6;4;5.0;;3.0;05-09-2024;16.84;0;30;980;247;60;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
19;0.0;;26.0;69.9;21.0;35.5;36;6;6;0;1.0;2.0;2.0;09-09-2024;3.98;1;28;550;256;64;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
23;0.0;4.8;5.0;77.5;32.0;31.5;72;3;8;3;5.0;4.0;3.0;24-09-2024;17.67;0;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
19;1.0;2.4;0.0;50.5;23.0;10.9;30;4;8;0;1.0;2.0;1.0;16-09-2024;8.62;1;30;830;282;65;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
19;3.0;;;92.7;54.0;55.7;131;4;10;10;4.0;4.0;5.0;19-09-2024;16.23;0;28;480;265;78;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
23;1.0;2.1;0.0;74.4;27.0;39.2;50;3;8;2;3.0;;2.0;17-09-2024;8.17;1;28;480;265;78;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
26;1.0;4.9;23.0;70.2;16.0;36.6;50;5;8;1;1.0;2.0;4.0;13-09-2024;7.99;1;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
20;1.0;24.1;18.0;84.5;32.0;59.7;67;4;9;5;3.0;2.0;2.0;13-09-2024;14.95;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
22;2.0;12.8;18.0;62.2;26.0;34.4;56;8;13;4;3.0;5.0;2.0;12-09-2024;4.0;1;28;710;325;60;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
18;0.0;9.6;10.0;84.9;36.0;50.2;89;7;8;2;;2.0;3.0;27-09-2024;12.66;0;30;980;247;60;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
18;1.0;6.1;16.0;69.1;38.0;86.7;102;5;9;3;2.0;3.0;2.0;27-09-2024;18.66;0;28;480;265;78;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0
20;0.0;34.7;0.0;72.3;31.0;41.3;71;6;8;2;4.0;3.0;3.0;13-09-2024;12.86;0;28;550;256;64;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
19;0.0;8.2;10.0;79.9;33.0;55.4;63;5;10;4;5.0;4.0;2.0;04-09-2024;16.92;0;30;830;282;65;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
18;3.0;9.0;6.0;69.8;21.0;31.3;56;3;6;1;4.0;4.0;3.0;11-09-2024;16.02;0;30;620;263;66;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0
21;0.0;18.0;0.0;77.3;22.0;20.6;35;5;7;2;4.0;4.0;;03-09-2024;15.0;0;28;550;256;64;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
18;1.0;2.0;6.0;70.6;25.0;26.3;39;4;10;3;1.0;3.0;4.0;10-09-2024;5.69;1;30;930;293;75;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
18;0.0;32.2;0.0;83.9;25.0;46.8;69;3;12;2;3.0;3.0;3.0;03-09-2024;14.01;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
21;2.0;2.9;;64.5;7.0;11.1;23;5;8;2;3.0;4.0;4.0;11-09-2024;9.7;1;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
17;2.0;22.6;26.0;88.3;14.0;6.4;33;2;5;4;3.0;4.0;1.0;04-09-2024;14.17;0;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
25;0.0;29.4;11.0;68.4;28.0;51.0;42;4;7;1;1.0;3.0;3.0;20-09-2024;6.71;1;30;830;282;65;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
23;1.0;6.1;15.0;83.9;33.0;60.8;81;4;11;4;4.0;3.0;3.0;06-09-2024;14.86;0;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
25;1.0;7.5;5.0;66.2;19.0;28.8;50;7;8;1;2.0;5.0;2.0;10-09-2024;2.65;1;30;810;265;81;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
18;1.0;6.0;9.0;84.4;31.0;43.4;80;6;8;3;3.0;2.0;3.0;19-09-2024;15.15;0;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
17;2.0;17.2;13.0;65.5;19.0;31.5;33;3;8;1;3.0;3.0;4.0;13-09-2024;9.45;1;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
20;2.0;5.8;7.0;83.6;40.0;58.4;71;1;13;3;5.0;4.0;3.0;20-09-2024;18.57;0;30;930;293;75;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
21;0.0;0.8;;70.8;8.0;9.6;14;6;8;3;;3.0;4.0;02-09-2024;5.94;1;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
24;2.0;17.3;0.0;71.5;37.0;63.6;92;2;8;3;3.0;2.0;5.0;03-09-2024;19.7;0;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
19;0.0;28.6;7.0;83.6;25.0;49.6;63;1;11;3;4.0;4.0;4.0;16-09-2024;18.58;0;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
20;2.0;0.6;5.0;77.3;;47.8;69;3;6;3;2.0;4.0;3.0;06-09-2024;14.57;0;28;480;265;78;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
17;1.0;53.7;21.0;79.0;22.0;26.4;64;7;7;0;1.0;2.0;1.0;02-09-2024;3.18;1;28;480;265;78;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
17;2.0;4.0;;78.1;44.0;53.8;97;2;8;6;5.0;3.0;;25-09-2024;17.86;0;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
23;1.0;;0.0;74.6;36.0;59.7;67;3;10;5;5.0;4.0;4.0;09-09-2024;18.82;0;30;810;265;81;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
21;2.0;4.0;3.0;89.5;40.0;67.3;103;1;10;6;4.0;3.0;3.0;23-09-2024;14.63;0;30;830;282;65;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
18;;1.3;3.0;57.7;17.0;19.8;40;5;5;0;2.0;4.0;3.0;04-09-2024;2.43;1;28;480;265;78;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
17;2.0;2.1;;80.1;13.0;10.7;22;6;8;1;2.0;3.0;4.0;20-09-2024;4.57;1;30;830;282;65;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0
18;2.0;8.8;;70.5;6.0;5.9;12;7;7;0;1.0;3.0;2.0;19-09-2024;6.09;1;30;980;247;60;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1
22;2.0;8.6;;88.1;45.0;93.7;96;4;9;2;3.0;2.0;2.0;23-09-2024;16.63;0;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
21;0.0;30.6;13.0;72.1;26.0;67.9;61;5;9;1;4.0;2.0;2.0;20-09-2024;14.25;0;28;710;325;60;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
20;2.0;9.7;0.0;58.6;12.0;27.8;22;3;6;5;5.0;1.0;3.0;19-09-2024;3.91;1;30;620;263;66;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
21;2.0;7.0;19.0;95.0;39.0;99.7;103;4;8;2;4.0;;1.0;10-09-2024;19.0;0;30;620;263;66;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
21;0.0;53.3;6.0;79.3;18.0;14.3;42;6;6;1;3.0;1.0;1.0;27-09-2024;6.13;1;30;810;265;81;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
20;0.0;37.0;;98.3;44.0;63.3;127;0;13;10;5.0;3.0;3.0;24-09-2024;19.25;0;30;980;247;60;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
22;1.0;23.1;0.0;76.7;22.0;22.6;43;8;8;4;2.0;5.0;3.0;16-09-2024;9.0;1;30;830;282;65;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
20;0.0;20.7;11.0;76.1;22.0;34.3;44;1;10;1;2.0;3.0;3.0;05-09-2024;16.24;0;30;830;282;65;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
18;0.0;6.2;14.0;78.4;28.0;55.2;80;3;7;1;5.0;4.0;4.0;27-09-2024;18.85;0;30;930;293;75;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
22;0.0;2.1;3.0;75.2;47.0;70.1;84;7;8;7;3.0;4.0;5.0;11-09-2024;13.75;0;30;810;265;81;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
21;0.0;15.5;0.0;79.3;31.0;66.7;78;5;8;5;5.0;;3.0;19-09-2024;19.54;0;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
18;2.0;0.9;25.0;74.6;25.0;41.2;62;4;9;3;4.0;4.0;4.0;03-09-2024;16.49;0;28;710;325;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
19;1.0;4.9;0.0;81.5;37.0;17.9;55;4;7;2;4.0;2.0;1.0;09-09-2024;18.16;0;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
18;0.0;19.6;0.0;99.2;52.0;115.4;136;0;13;10;5.0;4.0;5.0;19-09-2024;19.17;0;30;620;263;66;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1
22;0.0;6.8;0.0;72.5;58.0;110.0;112;2;12;5;5.0;;4.0;27-09-2024;18.72;0;30;810;265;81;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
21;1.0;25.9;0.0;98.9;51.0;59.3;129;1;10;10;5.0;3.0;5.0;19-09-2024;18.94;0;30;830;282;65;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
21;1.0;0.4;0.0;74.0;29.0;33.0;72;5;9;1;2.0;1.0;3.0;13-09-2024;8.42;1;30;980;247;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
19;1.0;3.2;7.0;71.7;33.0;43.6;55;2;7;3;4.0;3.0;2.0;17-09-2024;16.03;0;30;810;265;81;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
19;1.0;8.4;14.0;80.6;31.0;50.4;85;10;11;2;4.0;4.0;2.0;27-09-2024;15.64;0;30;620;263;66;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
22;0.0;5.4;6.0;63.1;;32.5;38;3;9;2;3.0;3.0;4.0;17-09-2024;18.47;0;28;550;256;64;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
20;3.0;11.9;11.0;68.2;25.0;33.3;57;6;8;3;3.0;1.0;3.0;16-09-2024;4.75;1;30;810;265;81;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
19;;24.9;11.0;95.8;27.0;44.9;68;3;8;4;2.0;3.0;4.0;25-09-2024;13.01;0;30;930;293;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
