student_id,annee_universitaire,filiere,age,sexe,bac_type,mention_bac,etablissement_origine,boursier,distance_domicile_km,heures_travail_remunere_sem,taux_presence_pct,connexions_lms_30j,heures_lms_total,ressources_consultees,retards_rendus,nb_devoirs_total,nb_devoirs_rendus,messages_forum,moyenne_partiels_s1,nb_ue_total,nb_ue_validees_s1,motivation,satisfaction,sentiment_appartenance,groupe_td,couleur_carte_etudiante,jour_inscription,id_dossier,date_inscription,moyenne_finale,abandon,commentaire_tuteur
ETU-01668,2024-2025,biologie,20,M,GEN,ab,cfa,non,1.6,18.0,"68,6",33,72.2,86,2,9,7,2,"13,64",5,3,4,4,3,E,bleu,mardi,148724,2024-09-03,16.18,0,
ETU-03935,2024-2025,Informatique,20,Femme,GEN,P,lycee_public,N,16.4,20.0,78.0,27,32.1,45,6,9,7,3,11.04,7,5,1,3,4,G,bleu,jeudi,862773,05/09/2024,9.01,1,
ETU-00192,2024-2025,Informatique,19,f,GEN,B,lycee_prive,0,46.4 km,9.0,92.6%,47,71.1,104,5,9,8,3,10.44,5,3,4,3,2,C,rouge,vendredi,130294,2024-09-27,16.75,0,Très actif sur la plateforme.
ETU-02334,2024-2025,gestion,19,f,TECHNO,Bien,lycee_public,oui,14.8,27.0,70.6,,15.0,33,6,9,6,1,9.37,6,2,4,4,1,D,jaune,lundi,998025,16 Sep 2024,3.94,1,Profil dans la moyenne.
ETU-04850,2024-2025,Psychologie,20,f,TECHNO,P,lycee_public,non,12.0,26.0,75.9,53,65.6,135,2,10,9,0,9.57,5,2,3,,3,E,jaune,vendredi,825566,2024-09-27,15.25,0,Très actif sur la plateforme.
ETU-02945,2024-2025,Biologie,19,Femme,Generale,ab,autre,non,"5,1",10.0,76.3,9,11.1,20,3,9,8,2,12.68,5,3,3,4,2,F,vert,mercredi,393859,2024-09-04,15.05,0,
ETU-03958,2024-2025,Gestion,22,f,techno,AB,lycee_public,oui,4.4,15.0,69.8,17,19.7,43,4,8,7,2,8.26,5,0,4,3,3,F,gris,mardi,788320,24/09/2024,6.03,1,
ETU-04342,2024-2025,Gestion,22,h,général ,ab,lycee_public,Oui,4.7,11.0,"76,4",15,27.3,23,1,8,6,4,"10,32",5,2,3,1,4,B,gris,lundi,832978,16 Sep 2024,6.17,1,Profil dans la moyenne.
ETU-01991,2024-2025,Psychologie,20,F,techno,AB,lycee_public,non,51.6,13.0,75.1,11,16.3,25,4,10,9,1,4.8,5,1,4,2,3,H,jaune,mercredi,300775,2024-09-04,1.54,1,En difficulté sur les évaluations.
ETU-04816,2024-2025,Psychologie,18,f,Generale,passable,lycee_public,N,17.2,11.0,81.6%,17,19.3,22,6,9,7,2,11.58,6,2,2,3,1,B,rouge,jeudi,137328,2024-09-19,6.01,1,"Motivation en berne, à accompagner."
ETU-03839,2024-2025,GESTION,19,H,GEN,ab,lycee_prive,Oui,9.7 km,26.0,73.1,,31.3,69,6,11,9,2,13.91,5,4,4,4,4,D,rouge,jeudi,331859,19 Sep 2024,16.41,0,
ETU-03170,2024-2025,Droit,20,H,Général,B,lycee_prive,N,"25,0",0.0,83.5,29,18.3,57,2,12,11,5,16.91,6,4,4,4,5,B,vert,jeudi,552762,2024-09-26,19.61,0,
ETU-01555,2024-2025,INFORMATIQUE,18,Femme,Général,,lycee_prive,N,26.2,11.0,"74,8",3,3.5,10,6,13,8,0,"5,08",5,2,1,4,2,A,vert,vendredi,491131,13/09/2024,0.95,1,
ETU-04196,2024-2025,Gestion,18,H,Technologique,Passable,lycee_public,0,6.7,11.0,"70,6",3,1.4,2,2,8,6,3,"10,86",6,6,3,4,3,C,vert,jeudi,120356,26/09/2024,13.29,0,
ETU-02811,2024-2025,Psychologie,18,Femme,general,Passable,lycee_prive,O,44.7 km,3.0,82.5,47,53.1,87,4,10,9,2,"4,47",5,0,2,2,2,D,jaune,mardi,753493,10 Sep 2024,1.57,1,En difficulté sur les évaluations.
ETU-04817,2024-2025,INFORMATIQUE,24,M, pro,passable,lycee_prive,N,29.8,0.0,"80,8",51,52.5,134,2,13,13,2,"11,48",7,6,4,3,5,B,vert,mardi,494796,03/09/2024,18.12,0,Très actif sur la plateforme.
ETU-03694,2024-2025,Biologie,18,h,TECHNO,P,lycee_public,N,38.4,8.0,86.8,55,103.2,98,4,13,12,8,11.27,6,3,4,3,4,G,rouge,lundi,186045,2024-09-16,17.75,0,Engagement en ligne remarquable.
ETU-04928,2024-2025,Psychologie,20,H,Professionnel,tres bien,lycee_prive,O,51.4,,90.0,35,52.4,88,1,11,11,7,15.41,6,5,4,5,3,C,vert,vendredi,299910,2024-09-27,19.25,0,
ETU-03931,2024-2025,biologie,20,Femme,Generale,AB,lycee_public,Oui,7.5,0.0,"84,6",21,25.7,41,6,8,6,0,"11,21",6,3,3,3,4,D,bleu,mercredi,688764,04/09/2024,15.73,0,Suivi sans particularité.
ETU-02596,2024-2025,Informatique,18,h,GEN,B,lycee_public,Non,27.1,0.0,96.5,32,46.3,71,0,13,12,5,17.96,6,5,,,3,D,jaune,jeudi,886045,26 Sep 2024,18.8,0,
ETU-00413,2024-2025,Lettres,18,M,GEN,Passable,lycee_public,N,"34,8",,87.4,36,52.6,70,1,11,10,7,12.64,6,6,5,4,2,B,bleu,lundi,553705,2024-09-02,18.35,0,
ETU-01291,2024-2025,Informatique,20,f,Technologique,passable,lycee_public,oui,27.9 km,3.0,71.1,30,47.8,58,3,10,8,6,8.04,6,4,5,3,2,C,gris,vendredi,532775,2024-09-06,12.3,0,Suivi sans particularité.
ETU-01853,2024-2025,Gestion,19,Homme,Technologique,passable,lycee_public,Non,1.6,14.0,"54,6",24,48.7,45,5,9,8,5,"8,91",7,5,5,2,4,E,gris,mercredi,451688,18 Sep 2024,13.22,0,Forte baisse d'assiduité ce semestre.
ETU-01038,2024-2025,STAPS,18,femme,Général,Passable,lycee_public,non,7.9,,"89,7",37,44.3,73,2,8,8,5,11.1,5,3,,4,3,A,jaune,jeudi,684894,26 Sep 2024,15.85,0,
ETU-01664,2024-2025,Psychologie,24,f,general,AB,cfa,non,13.5,0.0,80.8,28,40.4,40,6,11,10,3,14.93,6,6,4,4,3,A,bleu,vendredi,761643,06/09/2024,17.35,0,Travail sérieux et régulier.
ETU-03553,2024-2025,PSYCHOLOGIE,22,H,general,AB,lycee_prive,O,"20,9",0.0,"71,9",8,13.9,18,3,9,8,4,"10,59",6,5,5,4,3,F,vert,vendredi,451457,20 Sep 2024,7.19,1,Engagement en ligne très faible.
ETU-00477,2024-2025,staps,22,Homme,général ,ab,lycee_prive,0,10.6,,72.2%,,6.6,7,3,11,7,0,9.2,6,3,2,4,2,E,rouge,lundi,844995,16 Sep 2024,3.33,1,
ETU-03947,2024-2025,DROIT,23,h,Generale,passable,lycee_prive,O,"19,3",18.0,85.4,43,23.9,83,1,9,9,4,9.17,6,2,5,4,4,H,vert,vendredi,760185,2024-09-27,15.53,0,
ETU-02958,2024-2025,Gestion,20,f,GEN,P,lycee_public,N,25.7,23.0,64.2%,8,11.1,17,5,10,7,0,"7,08",6,3,1,4,3,B,jaune,mardi,282698,2024-09-03,1.64,1,En difficulté sur les évaluations.
ETU-03302,2024-2025,Gestion,24,Femme,Général,Passable,lycee_public,N,1.4,,68.7%,36,66.6,82,4,13,10,1,13.21,6,6,4,3,3,A,vert,mercredi,835515,04 Sep 2024,17.01,0,
ETU-01369,2024-2025, Droit ,22,Homme,TECHNO,passable,lycee_public,N,6.6 km,10.0,78.3%,21,28.7,37,7,9,7,1,"10,32",6,2,3,4,3,H,jaune,mardi,147192,10 Sep 2024,6.91,1,
ETU-02434,2024-2025,Biologie,20,F,Professionnel,TB,,Non,16.1,8.0,81.2,40,56.5,89,2,11,11,7,"11,04",5,4,4,,4,H,bleu,lundi,630304,16/09/2024,17.04,0,
ETU-00686,2024-2025,STAPS,18,H,général ,passable,lycee_public,non,14.3,4.0,"73,1",10,10.6,25,7,12,9,0,"14,22",7,7,4,1,1,B,vert,vendredi,725072,2024-09-06,14.4,0,
ETU-00998,2024-2025,informatique,20,H,TECHNO,,lycee_prive,oui,30.3,0.0,72.3,,48.3,50,6,9,6,4,15.5,6,6,5,,3,A,gris,jeudi,626222,05/09/2024,16.84,0,
ETU-01193,2024-2025,Mathematiques,19,Homme,Technologique,passable,lycee_public,1,,26.0,"69,9",21,35.5,36,6,10,6,0,"9,58",6,5,1,2,2,B,jaune,lundi,776399,2024-09-09,3.98,1,
ETU-05126,2024-2025,Biologie,23,Femme,Generale,Passable,lycee_public,0,4.8,5.0,"77,5",32,31.5,72,3,9,8,3,15.92,6,6,5,4,3,F,bleu,mardi,545329,2024-09-24,17.67,0,
ETU-02435,2024-2025,Droit,19,H,techno,AB,,non,2.4,0.0,50.5,23,10.9,30,4,12,8,0,"12,66",6,3,1,2,1,D,gris,lundi,274140,2024-09-16,8.62,1,Forte baisse d'assiduité ce semestre.
ETU-01173,2024-2025,LETTRES,19,Femme,GEN,tres bien,lycee_prive,oui,,,92.7,54,55.7,131,4,10,10,10,9.45,6,3,4,4,5,A,bleu,jeudi,320845,19/09/2024,16.23,0,
ETU-03649,2024-2025, Lettres ,23,femme,général ,ab,lycee_prive,0,2.1 km,0.0,"74,4",27,39.2,50,3,10,8,2,11.79,6,2,3,,2,E,gris,mardi,204781,17/09/2024,8.17,1,
ETU-03157,2024-2025, Psychologie ,26,F,general,Assez Bien,lycee_public,O,4.9,23.0,70.2,16,36.6,50,5,11,8,1,12.75,7,5,1,2,4,E,jaune,vendredi,196252,13/09/2024,7.99,1,
ETU-01435,2024-2025,INFORMATIQUE,20,Femme,Generale,AB,cfa,0,24.1,18.0,84.5,32,59.7,67,4,9,9,5,"9,11",6,3,3,2,2,B,vert,vendredi,748668,2024-09-13,14.95,0,Suivi sans particularité.
ETU-04366,2024-2025,Biologie,22,F,Professionnel,Bien,lycee_public,non,12.8,18.0,62.2,26,34.4,56,8,13,13,4,6.54,6,3,3,5,2,B,jaune,jeudi,223345,12/09/2024,4.0,1,Résultats fragiles aux partiels.
ETU-02765,2024-2025,Informatique,18,femme, pro,P,lycee_prive,Non,9.6 km,10.0,84.9%,36,50.2,89,7,10,8,2,6.22,6,0,,2,3,H,rouge,vendredi,976338,27/09/2024,12.66,0,Résultats fragiles aux partiels.
ETU-01590,2024-2025,Lettres,18,M,TECHNO,Assez Bien,cfa,Non,6.1,16.0,69.1,38,86.7,102,5,12,9,3,"17,12",6,5,2,3,2,A,vert,vendredi,924143,27 Sep 2024,18.66,0,Semble peu engagé dans la formation.
ETU-03869,2024-2025,MATHEMATIQUES,20,f,pro,Passable,lycee_public,1,34.7,0.0,72.3%,31,41.3,71,6,12,8,2,,7,2,4,3,3,A,jaune,vendredi,586254,2024-09-13,12.86,0,
ETU-02736,2024-2025,Droit,19,H,Generale,passable,cfa,1,8.2,10.0,79.9%,33,55.4,63,5,12,10,4,"13,98",5,3,5,4,2,G,vert,mercredi,321534,2024-09-04,16.92,0,"Bon semestre, résultats solides."
ETU-03741,2024-2025,STAPS,18,H,techno,TB,lycee_prive,0,9.0 km,6.0,69.8,21,31.3,56,3,10,6,1,"14,78",6,5,4,4,3,F,jaune,mercredi,978134,2024-09-11,16.02,0,
ETU-02056,2024-2025,Mathematiques,21,f,GEN,P,lycee_prive,Oui,18.0,0.0,77.3,22,20.6,35,5,9,7,2,"11,34",7,6,4,4,,A,bleu,mardi,932108,03/09/2024,15.0,0,
ETU-00542,2024-2025,Gestion,18,H,pro,AB,lycee_prive,Oui,"2,0",6.0,70.6,25,26.3,39,4,11,10,3,"8,66",5,3,1,3,4,D,bleu,mardi,661025,10 Sep 2024,5.69,1,"Motivation en berne, à accompagner."
ETU-04345,2024-2025,Informatique,18,M,Général,Passable,lycee_public,Non,32.2,0.0,83.9,25,46.8,69,3,13,12,2,10.72,6,5,3,3,3,A,vert,mardi,952413,03 Sep 2024,14.01,0,
ETU-01905,2024-2025,PSYCHOLOGIE,21,Autre,Général,Bien,lycee_public,Non,"2,9",,"64,5",7,11.1,23,5,10,8,2,"16,45",6,5,3,4,4,F,bleu,mercredi,672505,2024-09-11,9.7,1,
ETU-00535,2024-2025,Gestion,17,Femme,général ,Bien,lycee_public,N,22.6 km,26.0,88.3,14,6.4,33,2,9,5,4,13.12,6,6,3,4,1,C,vert,mercredi,786966,04/09/2024,14.17,0,"Bon semestre, résultats solides."
ETU-01457,2024-2025,Droit,25,Femme,Generale,passable,lycee_public,N,29.4,11.0,68.4,28,51.0,42,4,10,7,1,"6,56",7,3,1,3,3,C,vert,vendredi,454507,20/09/2024,6.71,1,
ETU-00688,2024-2025,biologie,23,F,Général,ab,lycee_public,0,6.1,15.0,83.9,33,60.8,81,4,13,11,4,9.46,6,2,4,3,3,C,rouge,vendredi,185679,2024-09-06,14.86,0,RAS.
ETU-05170,2024-2025,Psychologie,25,M, pro,AB,lycee_public,O,"7,5",5.0,66.2,19,28.8,50,7,10,8,1,8.44,5,4,2,5,2,G,gris,mardi,777329,10/09/2024,2.65,1,Semble peu engagé dans la formation.
ETU-03536,2024-2025,Psychologie,18,f,Général,AB,lycee_public,Oui,"6,0",9.0,84.4,31,43.4,80,6,12,8,3,10.24,6,5,3,2,3,D,jaune,jeudi,730895,2024-09-19,15.15,0,Profil dans la moyenne.
ETU-01592,2024-2025,Biologie,17,Femme,Général,B,cfa,Oui,"17,2",13.0,65.5,19,31.5,33,3,12,8,1,14.69,6,3,3,3,4,E,rouge,vendredi,121798,13/09/2024,9.45,1,
ETU-00051,2024-2025,GESTION,20,h,Technologique,B,lycee_prive,O,"5,8",7.0,83.6,40,58.4,71,1,13,13,3,13.98,6,2,5,4,3,A,vert,vendredi,580775,2024-09-20,18.57,0,Travail sérieux et régulier.
ETU-02701,2024-2025,Gestion,21,f,general,Passable,lycee_public,1,0.8,,70.8,8,9.6,14,6,10,8,3,13.08,5,3,,3,4,E,bleu,lundi,531184,2024-09-02,5.94,1,Peu actif sur la plateforme.
ETU-03281,2024-2025,Psychologie,24,Femme,général ,B,lycee_public,1,17.3,0.0,71.5,37,63.6,92,2,10,8,3,19.01,6,6,3,2,5,D,gris,mardi,471579,03 Sep 2024,19.7,0,
ETU-00715,2024-2025,informatique,19,f,Generale,passable,lycee_prive,non,28.6 km,7.0,83.6,25,49.6,63,1,11,11,3,"14,75",7,5,4,4,4,A,vert,lundi,494129,16 Sep 2024,18.58,0,"Bon semestre, résultats solides."
ETU-01673,2024-2025,LETTRES,20,Femme,Generale,Bien,lycee_prive,1,"0,6",5.0,77.3%,,47.8,69,3,8,6,3,11.34,6,4,2,4,3,A,bleu,vendredi,625650,2024-09-06,14.57,0,"Motivation en berne, à accompagner."
ETU-02346,2024-2025,lettres,17,NR,pro,Assez Bien,lycee_public,N,53.7,21.0,79.0,22,26.4,64,7,12,7,0,9.81,6,3,1,2,1,G,gris,lundi,124077,2024-09-02,3.18,1,Semble peu engagé dans la formation.
ETU-03641,2024-2025,BIOLOGIE,17,F,Generale,B,cfa,non,4.0,,78.1%,44,53.8,97,2,8,8,6,"12,45",7,6,5,3,,F,rouge,mercredi,434859,2024-09-25,17.86,0,
ETU-04259,2024-2025,Psychologie,23,h,techno,ab,lycee_public,non,,0.0,74.6%,36,59.7,67,3,12,10,5,16.74,6,4,5,4,4,G,jaune,lundi,876818,2024-09-09,18.82,0,
ETU-04099,2024-2025,Droit,21,Femme,techno,B,cfa,non,4.0,3.0,89.5%,40,67.3,103,1,12,10,6,"9,37",5,4,4,3,3,B,gris,lundi,165282,23 Sep 2024,14.63,0,Profil dans la moyenne.
ETU-02428,2024-2025, Lettres ,18,M,general,,lycee_public,0,1.3,3.0,57.7%,17,19.8,40,5,9,5,0,5.93,5,2,2,4,3,A,bleu,mercredi,196599,04/09/2024,2.43,1,En difficulté sur les évaluations.
ETU-03905,2024-2025,Droit,17,Femme,techno,B,lycee_prive,Oui,2.1,,80.1,13,10.7,22,6,11,8,1,9.8,7,6,2,3,4,E,jaune,vendredi,275958,20/09/2024,4.57,1,Semble peu engagé dans la formation.
ETU-04617,2024-2025,Informatique,18,femme,Professionnel,Bien,,oui,8.8 km,,"70,5",6,5.9,12,7,12,7,0,11.53,6,5,1,3,2,G,rouge,jeudi,120994,2024-09-19,6.09,1,
ETU-05050,2024-2025,Psychologie,22,M,Général,Bien,cfa,Non,8.6,,88.1,45,93.7,96,4,11,9,2,10.02,6,5,3,2,2,E,bleu,lundi,161126,23/09/2024,16.63,0,Très actif sur la plateforme.
ETU-00035,2024-2025,Biologie,21,Homme,techno,passable,lycee_public,O,30.6,13.0,72.1,26,67.9,61,5,10,9,1,8.56,6,2,4,2,2,G,rouge,vendredi,251394,20 Sep 2024,14.25,0,
ETU-04621,2024-2025,STAPS,20,femme,general,B,lycee_public,oui,9.7 km,0.0,58.6%,12,27.8,22,3,9,6,5,9.37,6,4,5,1,3,A,rouge,jeudi,640224,2024-09-19,3.91,1,
ETU-02265,2024-2025,STAPS,21,femme,Generale,Bien,lycee_public,oui,"7,0",19.0,95.0,39,99.7,103,4,10,8,2,14.77,6,4,4,,1,D,bleu,mardi,591400,2024-09-10,19.0,0,
ETU-03320,2024-2025,Psychologie,21,femme,Technologique,Passable,lycee_public,N,53.3,6.0,79.3,18,14.3,42,6,8,6,1,9.29,7,4,3,1,1,E,bleu,vendredi,239130,2024-09-27,6.13,1,
ETU-00344,2024-2025,Informatique,20,Homme,TECHNO,passable,lycee_prive,Oui,"37,0",,"98,3",44,63.3,127,0,13,13,10,"16,26",5,5,5,3,3,C,bleu,mardi,756724,24 Sep 2024,19.25,0,Étudiant assidu et investi.
ETU-04258,2024-2025,Droit,22,femme,GEN,ab,lycee_prive,non,23.1,0.0,76.7,22,22.6,43,8,9,8,4,14.61,7,6,2,5,3,E,rouge,lundi,856891,16 Sep 2024,9.0,1,"Rendus souvent en retard, à relancer."
ETU-01625,2024-2025, Droit ,20,Homme,general,Passable,lycee_public,0,20.7,11.0,"76,1",22,34.3,44,1,11,10,1,12.8,5,4,2,3,3,E,gris,jeudi,518773,05/09/2024,16.24,0,
ETU-00235,2024-2025,Gestion,18,f,PRO,passable,lycee_public,non,6.2,14.0,78.4,28,55.2,80,3,9,7,1,14.65,6,6,5,4,4,F,bleu,vendredi,751480,27 Sep 2024,18.85,0,
ETU-03945,2024-2025,psychologie,22,M,pro,P,lycee_public,0,"2,1",3.0,"75,2",47,70.1,84,7,8,8,7,"6,16",7,3,3,4,5,E,vert,mercredi,259854,2024-09-11,13.75,0,
ETU-02797,2024-2025,Biologie,21,M,général ,P,lycee_prive,Oui,"15,5",0.0,79.3,31,66.7,78,5,11,8,5,18.3,7,7,5,,3,B,rouge,jeudi,944786,19/09/2024,19.54,0,
ETU-02530,2024-2025,biologie,18,f,général ,Bien,lycee_public,N,0.9,25.0,74.6,25,41.2,62,4,12,9,3,14.18,5,4,4,4,4,E,rouge,mardi,595705,03/09/2024,16.49,0,Suivi sans particularité.
ETU-01029,2024-2025,Psychologie,19,f,GEN,ab,lycee_public,0,4.9,0.0,"81,5",37,17.9,55,4,10,7,2,15.85,7,6,4,2,1,A,rouge,lundi,330396,09/09/2024,18.16,0,Travail sérieux et régulier.
ETU-03633,2024-2025,staps,18,M,Technologique,P,,Non,19.6,0.0,99.2,52,115.4,136,0,13,13,10,13.0,7,5,5,4,5,C,vert,jeudi,444375,19/09/2024,19.17,0,
ETU-02531,2024-2025,Psychologie,22,h,Generale,Passable,cfa,non,6.8,0.0,72.5,58,110.0,112,2,13,12,5,15.62,5,5,5,,4,F,bleu,vendredi,401438,27 Sep 2024,18.72,0,RAS.
ETU-02952,2024-2025,DROIT,21,femme,général ,ab,lycee_prive,Oui,25.9,0.0,"98,9",51,59.3,129,1,10,10,10,14.85,6,6,5,3,5,B,vert,jeudi,457789,19/09/2024,18.94,0,"Très bon investissement, en réussite."
ETU-00614,2024-2025,Informatique,21,h,Generale,Assez Bien,lycee_public,non,"0,4",0.0,74.0,29,33.0,72,5,10,9,1,12.48,7,6,2,1,3,G,jaune,vendredi,630584,13/09/2024,8.42,1,
ETU-01061,2024-2025,Psychologie,19,M,PRO,ab,lycee_public,0,3.2,7.0,71.7%,33,43.6,55,2,8,7,3,10.89,6,5,4,3,2,F,bleu,mardi,843666,2024-09-17,16.03,0,
ETU-03734,2024-2025,STAPS,19,f,general,Assez Bien,lycee_public,non,8.4,14.0,80.6,31,50.4,85,10,13,11,2,12.29,6,4,4,4,2,C,gris,vendredi,976814,2024-09-27,15.64,0,
ETU-01775,2024-2025,mathematiques,22,F,GEN,passable,lycee_public,oui,5.4,6.0,"63,1",,32.5,38,3,9,9,2,"17,25",7,7,3,3,4,E,vert,mardi,890955,17/09/2024,18.47,0,Suivi sans particularité.
